Address,Error,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd,liquidityAddedAt,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap
CXfErCqD2ufoZZ7791sRetSiMkeFSH6oKAjW7ERdpump,,CXfErCqD2ufoZZ7791sRetSiMkeFSH6oKAjW7ERdpump,3672,-41.02152264696434,19445,,9898,3.81791483113069,1739,-10.036213140196585,19432,,19445,,6226,0,9534,1933,0,0,8.022216541138905e-05,0.0003050694438083336,8.022216541138905e-05,0.001239802459024266,0.0010269668945866973,8.022216541138905e-05,8.022216541138905e-05,8.022216541138905e-05,2283,2024-10-26T03:25:20,1729913120,4,0.0017794152560439917,2118.1092306832325,483.2820337004801,2118.1092306832325,43.52409475332103,73.26899877917849,2118.1092306832325,2118.1092306832325,2118.1092306832325,3221,-38.44830880947831,16372,,8454,6.863860447478196,1484,-14.565342544617154,16365,,16372,,5233,0,7911,1737,0,0,6893,-39.846408936207354,35817,,18352,5.199197477787331,3223,-12.17983651226158,35797,,35817,,11459,0,17445,3670,0,0,2293,-28.7888198757764,6709,,4397,5.418364900503477,1364,-7.7131258457374825,6709,,6709,,3220,0,4171,1478,0,0,2336063827.496283,-37.204427508328806,1763148.2326174697,19655281595.99695,,11191866.287031855,6056172960.677788,-55.455839471528165,4698697.146508019,789863086.6047084,-48.9158771098983,904221.1163484958,19652058232.343853,,11186264.876147207,19655281595.99695,,11191866.287031855,1211076042.3888228,-33.999741253847745,912211.2661398598,9920757924.017412,,5643542.788436549,3046032549.2213354,-55.67839075496167,2368534.088858721,400047001.7033799,-50.67414585237498,460701.3686338997,9918600132.18275,,5639781.732482463,9920757924.017412,,5643542.788436549,1834956506.832524,1456322.8227188655,0,0,6872567582.961419,3271247.6436237427,811029040.6854346,451509.8975059609,0,0,0,0,3720109133.1815214,2935548.913890557,0,0,13595885271.666058,6487567.729639198,1546200740.8915617,858927.1162689738,0,0,0,0,1124987785.1074603,-40.323782309009076,850936.9664776099,9734523671.979536,,5548323.498595308,3010140411.456453,-55.22834780641747,2330163.057649299,389816084.90132844,-46.97618463931189,443519.7477145961,9733458100.161102,,5546483.143664744,9734523671.979536,,5548323.498595308,1885152626.348997,1479226.0911716914,0,0,6723317688.7046385,3216320.086015455,735171700.2061272,407417.21876301285,0,0,0,0,2024-10-26 00:10:20,0.0017794152560439917,183779.56125533467,957079997.710955,1703042.749181422,957079997.710955,1703042.749181422
9WXNvkvub2Fvg88n8mLD3iywpLmfhRZHZmdf8CGhpump,,9WXNvkvub2Fvg88n8mLD3iywpLmfhRZHZmdf8CGhpump,517,-57.622950819672134,10542,,1737,-80.27257240204429,205,-34.294871794871796,10542,,10542,,1220,0,8805,312,0,0,0.00020761060388993299,0.00030188003484833497,0.00020761060388993299,0.0005053551748109115,0.00019402964792555056,0.00020761060388993299,0.00020761060388993299,0.00020761060388993299,1183,2024-10-26T03:25:05,1729913105,1,0.0002678664074635091,29.02347107738358,-11.267266284076852,29.02347107738358,-46.99442672893643,38.05436969420765,29.02347107738358,29.02347107738358,29.02347107738358,489,-51.870078740157474,9122,,1505,-80.2415649205724,189,-37,9122,,9122,,1016,0,7617,300,0,0,1006,-55.008944543828264,19664,,3242,-80.2581902326148,394,-35.62091503267974,19664,,19664,,2236,0,16422,612,0,0,500,-40.04796163069545,4017,,1083,-69.441309255079,259,-24.04692082111437,4017,,4017,,834,0,3544,341,0,0,765661892.0547245,-43.702926529950254,178722.95371050693,18396260862.656357,,7305405.342969984,2125700424.8961344,-86.93529683241351,694860.0537525539,266730835.82394922,-46.53954038479837,64793.53520603138,18396260862.656357,,7305405.342969984,18396260862.656357,,7305405.342969984,372716069.49365795,-44.29006635348023,86404.17160955606,9238508627.353899,,3663008.028328919,1041745890.7433944,-87.29076436371058,340064.4365459903,145185397.8732916,-36.19084546300858,35142.46360763167,9238508627.353899,,3663008.028328919,9238508627.353899,,3663008.028328919,669029821.2497363,253660.26493643605,0,0,8196762736.610501,3322943.5917829275,227530671.62036252,51261.708001921346,0,0,0,0,1360038532.8414264,516137.1000420507,0,0,16270560437.76022,6610545.2892174255,498931056.23076904,113929.41850447253,0,0,0,0,392945822.56106657,-43.13446184260928,92318.78210095088,9157752235.302458,,3642397.314641065,1083954534.15274,-86.57441548234006,354795.61720656365,121545437.95065759,-55.215451103676486,29651.071598399714,9157752235.302458,,3642397.314641065,9157752235.302458,,3642397.314641065,691008711.5916902,262476.8351056147,0,0,8073797701.149719,3287601.697434498,271400384.6104065,62667.71050255118,0,0,0,0,2024-10-25 23:29:19,0.0002678664074635091,67277.41381739659,999998943.733215,267866.12452512,999998943.733215,267866.12452512
HVctjYRepaPmBMP1nwHD8sHVTyHCzzTk3n6bivspump,,HVctjYRepaPmBMP1nwHD8sHVTyHCzzTk3n6bivspump,132,2.3255813953488373,564,,261,1.556420233463035,66,0,518,1026.086956521739,564,,129,0,257,66,46,0,0.0005905792264695023,0.0009340622873790015,0.0005905792264695023,0.0008183534990169034,0.0010107770856198743,0.0005985118400873881,0.0005905792264695023,0.0005905792264695023,41,2024-10-26T03:25:18,1729913118,1,0.00108165075397155,83.15082981121535,15.800709287459291,83.15082981121535,32.17402446142754,7.011800065512117,80.72336778059717,83.15082981121535,83.15082981121535,1,0,13,,2,-33.33333333333333,1,,5,-37.5,13,,1,0,3,0,8,0,133,2.307692307692308,577,,263,1.153846153846154,67,1.5151515151515151,523,868.5185185185185,577,,130,0,260,66,54,0,21,0,53,,22,-18.51851851851852,21,5,28,-24.324324324324326,53,,21,0,27,20,37,0,10658912.707419535,-8.199978656476308,10756.126704070732,53699533.75247699,,42891.83457101755,22269926.02901013,-22.827976108373374,20946.858488207134,4980707.098638168,-12.283783966267604,5212.269591457655,51127437.99511323,1887.7735052724279,41362.254771857464,53699533.75247699,,42891.83457101755,10657711.245564558,-8.188501271568178,10754.895841668736,53502698.352093466,,42773.73527097698,22265964.452593546,-22.765183440088137,20943.184606160048,4979505.63678319,-12.304943148195067,5211.038729055661,51094885.714187495,2022.0457484857952,41341.437833408934,53502698.352093466,,42773.73527097698,11608253.20702898,10188.288764491283,0,0,28828921.26159399,20398.25322724888,5678205.60878136,5543.857112613057,2407812.6379059786,1432.2974375680374,0,0,11611013.321590584,10190.731784136373,0,0,28857511.96610314,20415.396283650327,5678205.60878136,5543.857112613057,2572095.7573637706,1529.5797991600762,0,0,1201.461854977959,-56.47058018202949,1.2308624019947196,196835.400383526,,118.09930004057033,3961.5764165829587,-86.14383071492698,3.6738820470848363,1201.4618549779973,44034042662587576,1.2308624019947156,32552.28092573399,-80.18525516609915,20.816938448531516,196835.400383526,,118.09930004057033,2760.114561604959,2.443019645090131,0,0,28590.704509150957,17.1430564014467,2.7284841053187847e-12,1.021405182655144e-14,164283.119457792,97.28236159203882,0,0,2024-10-25 23:10:05,0.00108165075397155,331526.4716977081,206899723.98412177,223793.2424439309,206899723.98412177,223793.2424439309
95Cm7gDac2tg9f9ou4M5QkqgpeEFBqoqeqBWNy7ByaE2,,95Cm7gDac2tg9f9ou4M5QkqgpeEFBqoqeqBWNy7ByaE2,480,-28.251121076233183,2718,,1149,-8.373205741626794,172,-44.15584415584416,2403,665.2866242038217,2718,,669,0,1254,308,314,0,3.3212563914435214e-06,0.0006156164552713156,3.3212563914435214e-06,0.0006367759470776929,0.00128382664693529,0.0005835985164725599,3.3212563914435214e-06,3.3212563914435214e-06,1081,2024-10-26T03:25:15,1729913115,1,0.0007381883730766142,22126.178472050287,19.910435589522777,22126.178472050287,15.925919699750846,-42.50093072621651,26.48907634968653,22126.178472050287,22126.178472050287,307,-26.555023923444978,1561,,725,-1.8944519621109608,131,-25.568181818181817,1464,1409.278350515464,1561,,418,0,739,176,97,0,787,-27.598896044158234,4279,,1874,-5.970898143502258,303,-37.39669421487603,3867,840.8759124087592,4279,,1087,0,1993,484,411,0,458,-28.549141965678626,2486,,1074,-8.439897698209718,176,-41.914191419141915,2219,647.1380471380471,2486,,641,0,1173,303,297,0,138274350.85735002,-38.246981010898196,125780.90634562861,1806313137.754965,,659724.7984130636,362189477.7951187,-18.202728955393464,292727.92778141587,62764695.822032094,-16.87858222544559,49592.999344668235,804978672.5564022,-19.603160498546774,587482.9018430132,1806313137.754965,,659724.7984130636,70219363.58484712,-36.81790675338987,63744.40095541333,1373629529.9515932,,350520.12713168137,181357440.80994087,-19.024961905237316,146845.11506751564,24294401.583551563,-47.09978947208271,18013.019528931094,405324536.19766146,-58.13745364175532,296249.27638994495,1373629529.9515932,,350520.12713168137,111138077.22509187,83100.71411210272,0,0,223967095.3877214,149404.16132242835,45924962.00129593,45731.38142648217,968227142.0592508,54213.236949694416,0,0,223915126.93776596,166947.02143578744,0,0,442789194.7612846,294754.9740615968,75509655.03531867,76187.90700096016,1001256613.5038824,72184.28277800875,0,0,68054987.2725029,-39.65528673973214,62036.50539021527,432683607.80337197,,309204.6712813823,180832036.98517784,-17.361163473498355,145882.81271390026,38470294.23848053,30.034454622325303,31579.979815737144,399654136.35874075,1109.9925275180208,291233.6254530683,432683607.80337197,,309204.6712813823,112777049.71267407,83846.30732368471,0,0,218822099.37356317,145350.8127391684,29584693.034022737,30456.52557447799,33029471.444631595,17971.045828314334,0,0,2024-10-25 22:31:43,0.0007381883730766142,85032.87077199586,1000000000.0,738188.3730766142,1000000000.0,738188.3730766142
Ds4tykSf8vESCZPDLznadsfPXNgPzU5mVwc3oXXFwX5t,,Ds4tykSf8vESCZPDLznadsfPXNgPzU5mVwc3oXXFwX5t,23,475,319,,27,-48.07692307692308,18,260,79,-67.08333333333333,319,,4,0,52,5,240,0,4.2228916320277056e-06,0.00019563042973595504,4.2228916320277056e-06,0.00019469323131650573,0.00020402243608020804,0.00022260823308579836,4.2228916320277056e-06,4.2228916320277056e-06,180,2024-10-26T03:17:50,1729912670,2,0.00019097091196118327,4422.278301266395,-2.38179601254303,4422.278301266395,-1.911889453039702,-6.3971023823545465,-14.212107380781976,4422.278301266395,4422.278301266395,12,1100,337,,13,-80.88235294117648,11,1000,81,-68.359375,337,,1,0,68,1,256,0,35,600,656,,40,-66.66666666666666,29,383.33333333333337,160,-67.74193548387096,656,,5,0,120,6,496,0,18,200,163,,21,-63.1578947368421,15,200,70,-46.96969696969697,163,,6,0,57,5,132,0,47258570.827118345,3331.753774044724,9258.63426564168,12232819251.21688,,388428.1692268858,48635667.61024521,-69.75337446507295,9527.688025250689,41432946.52388488,611.2189933169033,8096.94845051044,209432671.40851998,-98.25812245145445,43924.53412710602,12232819251.21688,,388428.1692268858,21522399.266687002,1731.641218777925,4237.078342922463,10581209134.320076,,219318.05776798102,22697432.840186216,-67.48676101287224,4466.8381394307125,16357279.144255402,216.68729393568213,3208.1581369824944,92507250.46301195,-99.11802955706665,19507.154726083736,10581209134.320076,,219318.05776798102,1175033.5734990062,229.75979650814114,0,0,69809817.62282221,15040.316586652865,5165120.122431403,1028.9202059400193,10488701883.857065,199810.90304189714,0,0,1377096.783124349,269.053759608982,0,0,160797003.7982702,34396.84610185518,5825624.303233882,1161.6858151313238,12023386579.808361,344503.63509977964,0,0,25736171.560431343,12636.69343773677,5021.555922719217,1651610116.8968046,,169110.11145890475,25938234.770058993,-71.49243112096791,5060.849885819976,25075667.379629478,3696.4434001256136,4888.790313527946,116925420.94550805,-92.38114374542387,24417.37940102228,1651610116.8968046,,169110.11145890475,202063.20962534286,39.29396310084087,0,0,90987186.17544799,19356.529515202317,660504.1808024794,132.76560919130458,1534684695.951295,144692.7320578825,0,0,2024-10-25 22:16:45,0.00019097091196118327,101471.50340486418,10000000000.0,1909709.1196118328,10000000000.0,1909709.1196118328
BAmHS42JqR51sZ6oqPhj4pcqi6dFFYDka77P4Q22pump,,BAmHS42JqR51sZ6oqPhj4pcqi6dFFYDka77P4Q22pump,2942,-0.23736859952526282,17001,,5891,108.3834453484259,2150,171.46464646464648,8718,5.175533840028955,17001,,2949,0,2827,792,8289,0,6.521974269479066e-05,0.002181099409784948,6.521974269479066e-05,0.000787086888996825,0.0022441207257491063,0.0005293948122022622,6.521974269479066e-05,6.521974269479066e-05,2297,2024-10-26T03:25:20,1729913120,4,0.004289753918681116,6477.3855299551105,96.6785144884376,6477.3855299551105,445.01656407319723,91.1552203702927,710.3127986532212,6477.3855299551105,6477.3855299551105,2739,6.908665105386416,14889,,5301,116.10273134936813,1883,119.9766355140187,7754,8.629868310451107,14889,,2562,0,2453,856,7138,0,5681,3.0847396116857193,31890,,11192,111.96969696969697,4033,144.72087378640776,16472,6.773838076100344,31890,,5511,0,5280,1648,15427,0,1848,5.239179954441914,5761,,2809,92.66117969821673,1426,83.05519897304237,3566,5.56542332741267,5761,,1756,0,1458,779,3378,0,674419074.1566311,-35.835355599980275,2304659.257553502,13201229407.861824,,12654500.027897818,1725494912.6700096,-15.373908648180738,4459665.408848395,422172891.217595,67.36542305562746,1683704.0328940656,3764458174.598943,-60.23912684647957,5615671.743676681,13201229407.861824,,12654500.027897818,344239671.55225646,-37.0457167304084,1177806.4517454908,6692023331.556092,,6401030.054561948,891048647.3261539,-13.325603162491623,2284284.954054388,213877065.59804597,64.06320204520556,854821.1328882118,1919090006.5254948,-59.92712965395981,2868140.6650007702,6692023331.556092,,6401030.054561948,546808975.7739047,1106478.5023088949,0,0,1028041359.1993434,583855.7109463948,130362605.9542071,322985.31885727774,4789000613.017305,3539224.803775117,0,0,1051075838.5133727,2155006.1512948894,0,0,2038963261.9289293,1156006.3348283088,252246182.93903923,620955.2246594357,9467745238.048523,7051757.423848666,0,0,330179402.60437465,-34.522883218887316,1126852.805808011,6509206076.305733,,6253469.97333587,834446265.3438557,-17.45690116212035,2175380.4547940064,208295825.61954898,70.89736843337842,828882.900005854,1845368168.0734484,-60.55847634425794,2747531.0786759113,6509206076.305733,,6253469.97333587,504266862.739468,1048527.6489859945,0,0,1010921902.729586,572150.6238819138,121883576.98483212,297969.905802158,4678744625.031219,3512532.6200735494,0,0,2024-10-25 21:58:56,0.004289753918681116,292637.7984642635,999997596.189941,4289743.606927495,999997596.189941,4289743.606927495
8wa9yRNKp57Fy4RViUgBV21oR7SsgmrAkN576ThJzY2F,,8wa9yRNKp57Fy4RViUgBV21oR7SsgmrAkN576ThJzY2F,108,-73.8498789346247,4100,,521,-74.57296242069302,52,-7.142857142857142,2570,68.08371484630477,4100,,413,0,2049,56,1529,0,0.00032596969437100585,0.0005784540184661364,0.00032596969437100585,0.0005905271911591128,0.0006086388945197104,0.0005708918449821575,0.0006531789878252497,0.00032596969437100585,505,2024-10-26T03:23:44,1729913024,1,0.0006004423201817349,84.20188457713961,3.801218595369775,84.20188457713961,1.6790300550191868,-1.3467056429976456,5.17619501124613,-8.073846315709075,84.20188457713961,54,-73.7864077669903,2035,,260,-74.55968688845401,30,25,1282,70.47872340425532,2035,,206,0,1022,24,752,0,162,-73.82875605815832,6135,,781,-74.56854444806253,82,2.5,3852,68.87330118369135,6135,,619,0,3071,80,2281,0,129,-86.20320855614973,5512,,1138,-60.44490789016337,68,1.4925373134328357,3685,95.59447983014861,5512,,935,0,2877,67,1884,0,52562764.7431,-38.16660488372003,33000.18041790985,1364696152.1917696,,817373.4142442403,137569846.50571972,-66.51189874854347,83766.19808104861,16972386.40201976,-52.3118685635618,10730.521943384168,548372016.1262997,-32.78121700461236,328648.6170564833,1364696152.1917696,,817373.4142442403,26449611.267870132,-37.16804173649041,16637.470662880583,695081229.56159,,415173.3993053908,68545404.55341956,-66.67350771928477,41837.84592386845,6347687.554709792,-68.42248709483336,4031.2280921436645,274223829.9215897,-34.80304354328669,164741.91492303135,695081229.56159,,415173.3993053908,42095793.28555013,25200.37526098773,0,0,205678425.3681693,122904.06899916277,20101923.71315981,12606.242570736937,420608330.2426197,250281.65690428903,0,0,85007081.76262,50766.017663138715,0,0,410802169.6205792,244882.41897543462,35590378.34107979,22269.65847452583,815801762.0817792,488412.0500582983,0,0,26113153.475229867,-39.14619112594643,16362.709755029264,669614922.6301798,,402200.0149388495,69024441.95230018,-66.34985276625807,41928.35215718016,10624698.847309971,-31.402460073985967,6699.2938512405035,274148186.20471007,-30.629366756205073,163906.70213345194,669614922.6301798,,402200.0149388495,42911288.47706986,25565.64240215099,0,0,205123744.25240988,121978.34997627184,15488454.627919972,9663.415903788891,395193431.83915955,238130.39315400922,0,0,2024-10-25 20:57:46,0.0006004423201817349,88736.94535495422,1000000000.0,600442.320181735,1000000000.0,600442.320181735
GRpS5quvyxPCx3nARqyyNSyd51D8MwWw1Rb5GT6Zpump,,GRpS5quvyxPCx3nARqyyNSyd51D8MwWw1Rb5GT6Zpump,532,9.917355371900827,9806,,1016,-48.26883910386965,337,72.82051282051282,2980,-56.343392909463816,9806,,484,0,1964,195,6826,0,0.00014799349669110894,0.00046920751499514665,0.00014799349669110894,0.000559537049490485,0.0004938460483193971,0.0004342350952615481,0.0004108695622732299,0.00014799349669110894,3339,2024-10-26T03:25:20,1729913120,2,0.0005222427429340308,252.88222429398536,11.303149724580342,252.88222429398536,-6.665207708839725,5.750110730109155,20.267281164705043,27.106700249247794,252.88222429398536,262,-19.877675840978593,5710,,589,-59.822646657571624,153,40.36697247706422,2055,-43.82176052487698,5710,,327,0,1466,109,3658,0,794,-2.096177558569667,15516,,1605,-53.2069970845481,490,61.18421052631579,5035,-51.97443723769554,15516,,811,0,3430,304,10484,0,445,-9.552845528455284,5327,,852,-40.54431263084438,261,17.56756756756757,2007,-50.12425447316103,5327,,492,0,1433,222,4024,0,134281304.75122043,-33.81034176654895,67513.67835175527,6830566824.499713,,3201920.713557303,337154847.741297,-65.75043893056328,162079.84650600678,72919093.81736958,18.833876269510974,38249.92345237355,1321561179.4246616,-76.01328704833605,645645.5076360141,6830566824.499713,,3201920.713557303,69182122.70571685,-30.06402938816248,34859.9505361791,3478989424.846448,,1615549.810663401,168104211.15387657,-65.9838472334464,81020.50532561525,37031396.67682082,15.180592324835684,19473.369234098664,662293581.4437591,-76.48559812356034,324451.1725289959,3478989424.846448,,1615549.810663401,98922088.44815393,46160.55478943402,0,0,494189370.2898851,243430.66720338268,32150726.028898854,15386.581302081891,2816544451.880558,1291015.530415855,0,0,202873542.99006957,94566.16815425112,0,0,984406331.6833683,483565.6611300099,61362210.93385163,29263.754899383297,5509555152.837169,2556509.3675730247,0,0,65099182.04550359,-37.37540053443496,32653.727815576167,3351577399.653265,,1586370.902893902,169050636.58742043,-65.5151392340894,81059.34118039152,35887697.14054875,22.854751332630936,18776.554218274887,659267597.9809027,-75.51931012577418,321194.33510701824,3351577399.653265,,1586370.902893902,103951454.54191564,48405.613364817094,0,0,490216961.3934832,240134.99392662727,29211484.904952772,13877.173597301407,2693010700.9566107,1265493.8371571696,0,0,2024-10-25 20:02:20,0.0005222427429340308,83996.79084919681,999831434.491647,522154.7108205845,999831434.491647,522154.7108205845
2B5536xgbvqsqAeN3xm4YGSRf5AHYr8wRfjHae9JmSLX,,2B5536xgbvqsqAeN3xm4YGSRf5AHYr8wRfjHae9JmSLX,10,-77.27272727272727,2246,,54,-82.85714285714286,5,0,369,-63.24701195219124,1373,57.273768613974795,44,0,315,5,1004,873,0.0007081088868175686,0.0010386825869410361,0.0007081088868175686,0.0006953976062997883,0.0009735600544708589,0.0006504996130610105,0.0005963114364978366,0.001803635603430933,296,2024-10-26T03:23:10,1729912990,1,0.0008917613238121684,25.935620977726053,-14.144962568551092,25.935620977726053,28.237617692881017,-8.402022071781593,37.088678595190785,49.54623863153156,-50.55756705424136,25,-39.02439024390244,2013,,66,-78.91373801916933,9,-43.75,379,-58.12154696132596,1284,76.13168724279835,41,0,313,16,905,729,35,-58.82352941176471,4259,,120,-80.89171974522293,14,-33.33333333333333,748,-60.8171817705605,2657,65.85518102372035,85,0,628,21,1909,1602,28,-39.130434782608695,1629,,66,-79.93920972644378,13,-27.77777777777778,394,-54.39814814814815,1226,129.15887850467288,46,0,329,18,864,535,10597251.70212816,-49.06609831555996,9744.509666611351,1736469001.049559,,1707470.4027883876,31403141.986722838,-39.35097855519793,27875.417834411644,7892158.974870043,191.75188322903946,7034.319375461209,83181622.88983352,-82.54788217574674,64088.42386851062,559809294.8290851,-52.423857818057066,585999.4736792257,2831373.3900828473,-81.07400706728511,2493.732221549919,939047675.6273972,,868704.2786198427,17791610.3517512,-32.167739065726984,15346.196998989895,2793754.052561822,7326.3775935481035,2455.685780225776,44020443.22080316,-80.13776616060748,33716.385445011285,265649307.20838743,-60.550942849464754,275028.03745766584,14960236.961668853,12852.464777440042,0,0,26228832.869054183,18370.188446023403,37619.33752182197,38.046441324010885,221628863.98758405,241311.65201265368,673398368.4190106,593676.2411621774,20805890.28459516,18130.908167801208,0,0,51778480.9031148,36213.00603410015,2705092.727259043,2710.1902911498205,476627671.93925154,521911.04981071514,1176659706.2204747,1121470.9291091622,7765878.312045313,32.84876613513833,7250.777445061432,797421325.4221619,,838766.1241685448,13611531.634971637,-46.725169689907666,12529.220835421747,5098404.922308221,91.13236300402147,4578.633595235433,39161179.66903037,-84.64260284838156,30372.038423499333,294159987.6206976,-41.54925770659075,310971.4362215598,5845653.322926308,5278.443390361164,0,0,25549648.03406062,17842.81758807675,2667473.389737221,2672.1438498258094,254998807.95166746,280599.3977980615,503261337.8014642,527794.6879469847,2024-10-25 18:52:46,0.0008957944948583243,101511.39162865037,982409478.508001,880037.0025441046,982409478.508001,880037.0025441046
dracoAfhWox6saRpRcovijFSN1b5HHqHPpRSz19neFh,,dracoAfhWox6saRpRcovijFSN1b5HHqHPpRSz19neFh,0,,106,,0,,0,,0,,0,-100,0,0,0,0,0,106,0.37301845848084303,17.54785810812294,0.37301845848084303,17.54785810812294,17.54785810812294,17.54785810812294,17.54785810812294,17.54785810812294,109,2024-10-25T17:21:06,1729876866,1,17.54785810812294,4604.286801138057,0,4604.286801138057,0,0,0,0,0,0,,22,,0,,0,,0,,0,-100,0,0,0,0,0,22,0,,128,,0,,0,,0,,0,-100,0,0,0,0,0,128,,,106,,,,,,,,,-100,,0,,,,106,0,,0,21601.935095999997,,61725.12115872043,0,,0,0,,0,0,,0,0,-100,0,,,,20280.817488999997,,47759.02229877163,,,,,,,,,,,,,,,0,0,,,,,,,20280.817488999997,47759.02229877163,0,0,0,0,0,0,0,0,0,0,21601.935095999997,61725.12115872043,,,,1321.117607,,13966.0988599488,,,,,,,,,,,,,,,0,0,,,,,,,1321.117607,13966.0988599488,2024-10-25 16:54:40,17.54785810812294,71634.59407927691,30000.0,526435.7432436883,30000.0,526435.7432436883
